,0
0,#bitcoin
1,#btcusd
2,#blockchain
3,#safemoon
4,#binancesmartchain
5,#forex
6,#digibyte
7,#cryptocurrencies
8,#defi
9,#nftdrop
10,#gold
11,#klv
12,#bitcoincash
13,#1
14,#monero
15,#airdrop
16,#tron
17,#cryptoart
18,#chiliz
19,#cryptos
20,#safemoonarmy
21,#chainlink
22,#cryptotrading
23,#solana
24,#nftcollectors
25,#win
26,#safemooncommunity
27,#spacex
28,#dgb
29,#usd
