,0,1,2,3
0,#bitcoin,389682.84765625,685009,397022
1,#btcusd,1448.7425155639648,3099,2198
2,#blockchain,5635.886962890625,12329,18368
3,#safemoon,14039.447387695312,15731,44860
4,#binancesmartchain,14039.447387695312,39897,75145
5,#forex,144.65584087371826,172,309
6,#digibyte,1412.9634170532227,4747,2947
7,#cryptocurrencies,2720.9005737304688,7239,13166
8,#defi,21757.482666015625,27781,28185
9,#nftdrop,208.48044967651367,807,910
10,#gold,11944.822387695312,15003,14907
11,#klv,1622.102798461914,2143,1938
12,#bitcoincash,2294.7758178710938,7514,2552
13,#1,2928.072967529297,4315,6744
14,#monero,244.29233169555664,795,1228
15,#airdrop,25730.48828125,47010,48880
16,#tron,2538.7657775878906,4500,8239
17,#cryptoart,2319.3427124023438,3149,3495
18,#chiliz,1447.326675415039,1671,1758
19,#cryptos,824.6534461975098,2208,1044
20,#safemoonarmy,961.1229553222656,1748,1012
21,#chainlink,2030.0990905761719,2926,8147
22,#cryptotrading,388.7664203643799,605,660
23,#solana,520.444766998291,904,919
24,#nftcollectors,1236.6733703613281,2549,1673
25,#win,850.9207992553711,4445,1010
26,#safemooncommunity,448.7425956726074,1379,2463
27,#spacex,99.35128736495972,176,364
28,#dgb,538.1018905639648,1363,1718
29,#usd,216.3621826171875,545,234
