,0,1,2,3
0,#btc,389682.84765625,45935,44597
1,#dogecoin,389682.84765625,87961,108567
2,#criptomonedas,389682.84765625,1845,1795
3,#coinbase,389682.84765625,10371,2183
4,#covid19,389682.84765625,1492,729
5,#tesla,389682.84765625,498,525
6,#crypto,389682.84765625,103205,115496
7,#ethereum,389682.84765625,63651,60593
8,#binance,389682.84765625,151242,27769
9,#xrp,389682.84765625,25759,14203
10,#eth,389682.84765625,27276,29702
11,#bnb,113707.4912109375,99040,84412
12,#bsc,113707.4912109375,50234,75987
13,#trx,113707.4912109375,16473,16944
14,#ltc,113707.4912109375,3906,6233
15,#ada,113707.4912109375,5823,6940
16,#doge,113707.4912109375,68925,41040
17,#cro,113707.4912109375,800,401
18,#free,113707.4912109375,842,451
19,#money,113707.4912109375,853,798
20,#giveaway,113707.4912109375,27298,28414
21,#altcoins,113707.4912109375,7439,8566
22,#altcoin,113707.4912109375,16628,11480
23,#cryptocurrency,113707.4912109375,31315,31280
24,#litecoin,113707.4912109375,10438,4197
25,#rvn,5635.886962890625,973,793
26,#ripple,27735.372314453125,3680,6136
27,#xlm,27735.372314453125,4233,1421
28,#stellar,27735.372314453125,530,476
29,#chz,27735.372314453125,6929,2239
30,#btt,27735.372314453125,7015,2399
31,#holo,27735.372314453125,2217,1750
32,#eos,27735.372314453125,5664,1719
33,#kriptopara,27735.372314453125,2643,3857
34,#xtz,27735.372314453125,907,408
35,#xem,27735.372314453125,954,559
36,#bist,27735.372314453125,1170,831
37,#usdt,27735.372314453125,2721,3348
38,#altın,27735.372314453125,732,646
39,#neo,27735.372314453125,3706,988
40,#hodl,27735.372314453125,14293,8075
41,#kripto,27735.372314453125,9585,1994
42,#theta,27735.372314453125,1868,1424
43,#bittorrent,27735.372314453125,1236,324
44,#china,14039.447387695312,943,385
45,#tothemoon,14039.447387695312,355,153
46,#iota,1854.8643646240234,1239,2507
47,#etherium,1854.8643646240234,1525,504
48,#dyor,4624.572967529297,2528,2282
49,#altseason,4624.572967529297,2974,2908
50,#trading,4624.572967529297,817,1396
51,#dogearmy,22757.002807617188,19028,43001
52,#dogeday420,22757.002807617188,20668,25919
53,#dogeday,22757.002807617188,597,82051
54,#vet,22757.002807617188,1986,1399
55,#vechain,22757.002807617188,1972,2195
56,#dogecoins,22757.002807617188,6301,3137
57,#dogecoinrise,22757.002807617188,8307,2510
58,#dogecointothemoon,22757.002807617188,9779,23185
59,#cardano,22757.002807617188,5389,7693
60,#link,22757.002807617188,2976,1040
61,#ico,21757.482666015625,820,1125
62,#nfts,21757.482666015625,12265,14257
63,#coinmarketcap,21757.482666015625,536,1115
64,#bsv,21757.482666015625,1766,301
65,#uni,21757.482666015625,621,241
66,#cake,21757.482666015625,1076,1422
67,#cryptotwitter,5714.312316894531,542,592
68,#elonmusk,5714.312316894531,4269,1576
69,#algorand,5714.312316894531,863,114
70,#cryptocurrencynews,5714.312316894531,1890,311
71,#cryptonews,5714.312316894531,3982,3728
72,#altseason2021,11944.822387695312,1198,1329
73,#xrpcommunity,11944.822387695312,2481,5447
74,#dash,11944.822387695312,1112,651
75,#atom,11944.822387695312,1296,629
76,#algo,11944.822387695312,1259,274
77,#silver,11944.822387695312,1193,176
78,#1inch,1622.102798461914,1012,433
79,#enj,1622.102798461914,344,489
80,#investing,2294.7758178710938,481,329
81,#investment,2928.072967529297,377,605
82,#sec,2928.072967529297,257,1543
83,#news,2928.072967529297,434,186
84,#borsa,2429.7870178222656,1212,2106
85,#xu100,2429.7870178222656,419,822
86,#bist100,2429.7870178222656,1414,2654
87,#btcusdt,2429.7870178222656,1463,244
88,#shib,1296.2168502807617,1075,964
89,#memes,1296.2168502807617,695,80
90,#polkadot,1422.0408020019531,1301,4243
91,#kucoin,4364.526153564453,516,21210
92,#2,8497.286499023438,565,4945
93,#airdrops,25730.48828125,24914,37571
94,#telegram,1110.3540420532227,394,794
95,#nasa,989.9703674316406,127,93
96,#india,989.9703674316406,215,94
97,#bounty,17885.14111328125,13217,22013
98,#dogecointo1dollar,816.5049476623535,67,25
99,#cloud,816.5049476623535,86,207
100,#bullish,816.5049476623535,330,533
101,#avax,3011.3021240234375,1492,2319
102,#coin,2538.7657775878906,1577,430
103,#nftcommunity,2319.3427124023438,1500,2284
104,#nftart,2319.3427124023438,1629,3179
105,#nftcollector,2319.3427124023438,1554,3073
106,#family,686.9488296508789,319,64
107,#dex,5106.0443115234375,253,555
108,#technology,5106.0443115234375,133,332
109,#kin,5106.0443115234375,301,57
110,#usdc,5106.0443115234375,148,658
111,#ai,5106.0443115234375,117,594
112,#nftartist,5106.0443115234375,1334,2592
113,#fintech,5106.0443115234375,375,773
114,#datascience,5106.0443115234375,150,59
115,#data,5106.0443115234375,337,130
116,#iot,5106.0443115234375,247,405
117,#youtube,388.7664203643799,311,187
118,#javascript,1221.3843717575073,125,352
119,#100daysofcode,1221.3843717575073,161,262
120,#programming,1221.3843717575073,173,108
121,#machinelearning,1221.3843717575073,150,241
122,#sol,1034.1452178955078,902,815
123,#staking,1186.468505859375,511,995
124,#cryptoartist,1236.6733703613281,502,613
125,#shibainu,1921.3512878417969,232,151
