,0
0,#bitcoin
1,#btc
2,#dogecoin
3,#safemoon
4,#cryptocurrency
5,#cryptocurrencies
6,#bnb
7,#cryptoart
8,#coinbase
9,#binancesmartchain
10,#sol
11,#solana
12,#nftcollector
13,#cardano
14,#rarible
15,#giveaway
16,#airdrop
