,username,retweet,Like,Reply
0,airdropinspect,2538.6435546875,2505.17822265625,243.52474975585938
1,Phemex_official,1316.3267822265625,897.089111328125,116.92079162597656
2,ICOAnnouncement,920.9901123046875,804.8118896484375,86.2574234008789
3,Eig_Banphot,845.1484985351562,150.92079162597656,2.6930692195892334
4,michael_saylor,825.10888671875,5729.90087890625,308.82177734375
5,shillmarines,713.7999877929688,1150.800048828125,326.0
6,safemoonfast,627.8461303710938,743.5384521484375,288.0
7,plumcakefinance,468.25,796.0,422.75
8,Pink_Siripipat,424.03961181640625,66.18811798095703,3.4257426261901855
9,cryptovenizo,388.4851379394531,197.18812561035156,158.49505615234375
10,RamiWahid,385.72222900390625,367.3888854980469,123.58333587646484
11,Benaskren,353.2871398925781,6785.61376953125,277.7524719238281
12,DocumentingBTC,328.8910827636719,2187.564453125,63.32673263549805
13,Sweepsgg,307.0989990234375,224.04949951171875,188.3267364501953
14,flurbnb,269.03961181640625,256.9306945800781,203.089111328125
15,stoolpresidente,214.732666015625,4493.67333984375,178.79208374023438
16,tyler,210.61386108398438,1769.485107421875,104.41584014892578
17,CWNFeed,210.2376251220703,220.31683349609375,147.2376251220703
18,cameron,195.77227783203125,1664.732666015625,147.6336669921875
19,WSBChairman,158.8712921142578,1085.1187744140625,51.613861083984375
20,SafeBTCOfficial,143.68316650390625,286.0,88.6336669921875
21,q8ytrader,129.9702911376953,53.6435661315918,0.4653465449810028
22,CoinPayU,119.59406280517578,156.20791625976562,51.366336822509766
23,ChairwomanDoge,117.32673645019531,501.7524719238281,48.05940628051758
24,SecretsOfCrypto,116.66336822509766,783.7821655273438,77.73267364501953
25,ValaAfshar,105.26732635498047,389.3762512207031,6.138613700866699
26,wondergirlsGAW,100.910888671875,81.8019790649414,59.94059371948242
27,TheMoonCarl,94.13861083984375,1248.5247802734375,156.65347290039062
28,glassnode,93.8910903930664,411.6336669921875,16.336633682250977
29,Cryptofam3,88.15841674804688,223.5445556640625,22.01980209350586
30,MMCrypto,83.4554443359375,1049.138671875,87.57425689697266
31,ashwsbreal,82.81188201904297,481.0791931152344,27.306930541992188
32,DanielMuvdiYT,71.78218078613281,280.67327880859375,31.00990104675293
33,BTC_Archive,70.5643539428711,548.5742797851562,21.079208374023438
34,Grayscale,70.27722930908203,368.2079162597656,48.5445556640625
