,Trend,Retweet,Like,Reply,Start Time
0,#streamme,2876.758544921875,2340.310302734375,184.55172729492188,2021-04-25 12:46:26+00:00
1,#sme,2876.758544921875,2340.310302734375,184.55172729492188,2021-04-25 12:46:26+00:00
2,#zen,785.3076782226562,713.0384521484375,120.80769348144531,2021-04-25 11:31:30+00:00
3,#frocket,403.25,563.5,234.625,2021-04-25 09:11:29+00:00
4,#privatesale,403.25,563.5,234.625,2021-04-25 09:11:29+00:00
5,#presale,401.5,378.1666564941406,190.8333282470703,2021-04-25 08:27:10+00:00
6,#flurwin,251.86138916015625,172.17822265625,209.0297088623047,2021-04-25 22:07:28+00:00
7,#gamer,249.86138916015625,104.17822265625,199.0297088623047,2021-04-25 05:46:40+00:00
8,#flurdaily,247.86138916015625,88.17822265625,171.0297088623047,2021-04-25 04:32:45+00:00
9,#flurwinner,245.86138916015625,72.17822265625,183.0297088623047,2021-04-25 22:07:13+00:00
10,#dogeslimjim,201.2772216796875,741.7227783203125,68.59406280517578,2021-04-25 01:14:29+00:00
11,#ron,148.2772216796875,592.7227783203125,56.59406280517578,2021-04-25 03:57:52+00:00
12,#stellar,148.2772216796875,592.7227783203125,56.59406280517578,2021-04-25 03:57:52+00:00
13,#zcash,148.2772216796875,592.7227783203125,56.59406280517578,2021-04-25 03:57:52+00:00
14,#hagglexbitcoin,146.6039581298828,136.79208374023438,37.881187438964844,2021-04-25 18:51:54+00:00
15,#hagglex,136.6039581298828,115.79208374023438,32.881187438964844,2021-04-25 04:21:17+00:00
16,#hag,129.6039581298828,113.79208374023438,37.881187438964844,2021-04-25 09:30:22+00:00
17,#420x,112.87179565429688,51.92307662963867,51.410255432128906,2021-04-25 20:51:04+00:00
18,#doonlygoodeveryday,111.2772216796875,415.7227783203125,56.59406280517578,2021-04-25 23:36:08+00:00
19,#giveaways,97.87179565429688,39.92307662963867,35.410255432128906,2021-04-25 08:14:38+00:00
20,#goodvibes,97.87179565429688,39.92307662963867,35.410255432128906,2021-04-25 21:42:47+00:00
21,#goodluck,97.87179565429688,39.92307662963867,35.410255432128906,2021-04-25 21:42:47+00:00
22,#stocktwits,94.4554443359375,109.9901123046875,83.29702758789062,2021-04-25 18:21:36+00:00
23,#longterm,60.4554443359375,-37.0098876953125,44.297027587890625,2021-04-25 18:53:01+00:00
24,#holder,60.4554443359375,-37.0098876953125,44.297027587890625,2021-04-25 18:53:01+00:00
25,#joerogan,59.3564338684082,550.6732788085938,56.970298767089844,2021-04-25 04:32:10+00:00
26,#yellowcardapp,49.425743103027344,343.1584167480469,7.603960037231445,2021-04-25 07:39:20+00:00
27,#refer,49.425743103027344,343.1584167480469,7.603960037231445,2021-04-25 07:39:20+00:00
28,#trade,49.425743103027344,343.1584167480469,7.603960037231445,2021-04-25 07:39:20+00:00
29,#france,48.55445861816406,104.71287536621094,3.0198020935058594,2021-04-25 04:40:41+00:00
30,#ofox,47.666656494140625,75.66665649414062,46.333335876464844,2021-04-25 10:06:47+00:00
31,#fox,47.666656494140625,75.66665649414062,46.333335876464844,2021-04-25 10:06:47+00:00
32,#lebanon,47.55445861816406,113.71287536621094,11.01980209350586,2021-04-25 19:30:00+00:00
33,#safebtctakeover,45.4554443359375,-22.0098876953125,70.29702758789062,2021-04-25 15:07:15+00:00
34,#germany,45.22772216796875,46.7227783203125,10.702970504760742,2021-04-25 07:53:48+00:00
35,#bep20,40.32258224487305,56.161293029785156,14.806451797485352,2021-04-25 12:13:53+00:00
36,#nxgn,40.32258224487305,56.161293029785156,14.806451797485352,2021-04-25 14:40:58+00:00
37,#nextgenfinance,40.32258224487305,56.161293029785156,14.806451797485352,2021-04-25 14:40:58+00:00
38,#anker,35.71287155151367,75.92079162597656,0.8514851331710815,2021-04-25 10:00:01+00:00
39,#yieldfarming,34.821781158447266,269.0296936035156,16.23762321472168,2021-04-25 06:31:17+00:00
40,#mandalaexchange,34.43564224243164,5.13861083984375,32.25742721557617,2021-04-25 21:05:07+00:00
41,#wikileaks,30.663368225097656,63.485145568847656,1.0396039485931396,2021-04-25 08:56:41+00:00
42,#assangecase,30.663368225097656,63.485145568847656,1.0396039485931396,2021-04-25 08:56:41+00:00
43,#cdtv,30.029701232910156,105.30693054199219,12.20792007446289,2021-04-25 12:30:04+00:00
44,#pc活用術,27.712871551513672,30.920791625976562,0.8514851331710815,2021-04-25 00:00:00+00:00
45,#slotslv,27.597564697265625,46.3780517578125,10.707321166992188,2021-04-25 13:08:57+00:00
46,#sudan,26.554458618164062,74.71287536621094,4.019802093505859,2021-04-25 14:25:00+00:00
47,#ravencoin,24.564355850219727,36.049503326416016,-1.3762376308441162,2021-04-25 02:38:00+00:00
48,#rvn,24.564355850219727,36.049503326416016,-1.3762376308441162,2021-04-25 21:42:41+00:00
49,#criptomonedas,24.50495147705078,69.0098876953125,-9.851484298706055,2021-04-25 01:00:25+00:00
50,#perspectiva,24.50495147705078,69.0098876953125,-9.851484298706055,2021-04-25 22:06:24+00:00
51,#chia,22.594058990478516,80.34652709960938,12.613861083984375,2021-04-25 09:09:13+00:00
52,#matic,22.26732635498047,163.25741577148438,4.5148515701293945,2021-04-25 15:10:27+00:00
53,#giveawaytime,20.81188201904297,18.099010467529297,46.13861083984375,2021-04-25 10:48:21+00:00
54,#wow,20.81188201904297,18.099010467529297,46.13861083984375,2021-04-25 10:48:21+00:00
55,#love,20.81188201904297,18.099010467529297,46.13861083984375,2021-04-25 10:48:21+00:00
56,#bitcoincash,17.663368225097656,17.485145568847656,-0.9603960514068604,2021-04-25 11:38:47+00:00
57,#covid19,15.0,50.178218841552734,2.148514747619629,2021-04-25 08:20:15+00:00
58,#sarscov2,15.0,50.178218841552734,2.148514747619629,2021-04-25 19:20:12+00:00
59,#hotbit,14.792078971862793,48.78218078613281,30.881187438964844,2021-04-25 07:10:08+00:00
60,#gate,14.792078971862793,48.78218078613281,30.881187438964844,2021-04-25 07:10:08+00:00
61,#1_pink_blue_one,14.366336822509766,44.5445556640625,63.78217697143555,2021-04-25 05:29:49+00:00
62,#coinsbeepartner,14.118812561035156,186.06930541992188,39.53465270996094,2021-04-25 14:46:14+00:00
63,#trb,13.857142448425293,38.57142639160156,1.2857142686843872,2021-04-25 08:44:43+00:00
64,#dyor,13.857142448425293,10.571426391601562,1.2857142686843872,2021-04-25 06:57:21+00:00
65,#mufc,13.821783065795898,163.1287078857422,4.346534729003906,2021-04-25 13:52:09+00:00
66,#cambridge,12.920791625976562,-8.574256896972656,7.663366317749023,2021-04-25 11:48:59+00:00
67,#cambridgeuniversity,12.920791625976562,-8.574256896972656,7.663366317749023,2021-04-25 11:48:59+00:00
68,#lufc,12.821783065795898,157.1287078857422,11.346534729003906,2021-04-25 12:25:58+00:00
69,#sportsbook,12.445545196533203,5.524751663208008,10.0,2021-04-25 18:00:26+00:00
70,#rich,12.445545196533203,5.524751663208008,10.0,2021-04-25 18:00:26+00:00
71,#independant,12.445545196533203,5.524751663208008,10.0,2021-04-25 18:00:26+00:00
72,#roulette,12.445545196533203,5.524751663208008,10.0,2021-04-25 18:00:26+00:00
73,#china,11.920791625976562,42.425743103027344,4.663366317749023,2021-04-25 14:35:15+00:00
74,#tech,11.920791625976562,42.425743103027344,4.663366317749023,2021-04-25 06:11:56+00:00
75,#economy,11.920791625976562,42.425743103027344,4.663366317749023,2021-04-25 17:07:54+00:00
76,#european,11.920791625976562,42.425743103027344,4.663366317749023,2021-04-25 17:07:54+00:00
77,#banks,11.920791625976562,42.425743103027344,4.663366317749023,2021-04-25 17:07:54+00:00
78,#fed,11.920791625976562,42.425743103027344,4.663366317749023,2021-04-25 17:07:54+00:00
79,#ico,11.811882019042969,41.12870788574219,44.613861083984375,2021-04-25 12:40:01+00:00
80,#oscar,11.653465270996094,-46.76239013671875,1.158416748046875,2021-04-25 15:54:53+00:00
81,#dex,11.118812561035156,3.9603958129882812,-2.9306931495666504,2021-04-25 17:26:25+00:00
82,#linux,11.118812561035156,3.9603958129882812,-2.9306931495666504,2021-04-25 17:26:25+00:00
83,#dash,11.118812561035156,3.9603958129882812,-2.9306931495666504,2021-04-25 11:15:33+00:00
84,#xbts,11.118812561035156,3.9603958129882812,-2.9306931495666504,2021-04-25 17:26:25+00:00
85,#bitshares,11.118812561035156,3.9603958129882812,-2.9306931495666504,2021-04-25 17:26:25+00:00
86,#exchange,11.118812561035156,3.9603958129882812,-2.9306931495666504,2021-04-25 17:26:25+00:00
87,#waves,11.118812561035156,3.9603958129882812,-2.9306931495666504,2021-04-25 17:26:25+00:00
88,#hecochain,11.118812561035156,3.9603958129882812,-2.9306931495666504,2021-04-25 17:26:25+00:00
89,#vebitcoin,10.87128734588623,-1.6237640380859375,-7.247524738311768,2021-04-25 08:15:09+00:00
90,#kriptopara,9.920791625976562,51.53465270996094,12.623762130737305,2021-04-25 01:01:04+00:00
91,#ırısusdt,9.544553756713867,143.12872314453125,-0.8118810653686523,2021-04-25 19:57:02+00:00
92,#ırıs,9.544553756713867,143.12872314453125,-0.8118810653686523,2021-04-25 19:57:02+00:00
93,#cake,8.920791625976562,45.53465270996094,10.623762130737305,2021-04-25 11:56:29+00:00
94,#egld,8.920791625976562,10.534652709960938,5.623762130737305,2021-04-25 23:38:01+00:00
95,#themauritanian,8.663368225097656,5.485145568847656,1.0396039485931396,2021-04-25 22:11:42+00:00
96,#gitmofiles,8.663368225097656,5.485145568847656,1.0396039485931396,2021-04-25 22:11:42+00:00
97,#modimadedisaster,8.554458618164062,58.71287536621094,-5.980197906494141,2021-04-25 14:34:28+00:00
98,#myc,8.44186019897461,11.104650497436523,-1.9883723258972168,2021-04-25 12:25:23+00:00
99,#myteamcoin,8.44186019897461,11.104650497436523,-1.9883723258972168,2021-04-25 12:25:23+00:00
100,#1inchnetwork,8.44186019897461,11.104650497436523,-1.9883723258972168,2021-04-25 12:25:23+00:00
101,#altcoin,8.079208374023438,17.5445556640625,7.3069305419921875,2021-04-25 02:02:28+00:00
102,#stablecoins,8.069307327270508,6.613861083984375,1.9900989532470703,2021-04-25 21:38:54+00:00
103,#americawakeup,8.0,41.178218841552734,2.148514747619629,2021-04-25 03:07:31+00:00
104,#webbyawards,8.0,41.178218841552734,2.148514747619629,2021-04-25 06:44:03+00:00
105,#lightningbisquits,7.277227401733398,42.3564338684082,2.356435537338257,2021-04-25 20:01:28+00:00
106,#fiat,6.683168411254883,30.58415985107422,-10.188118696212769,2021-04-25 20:16:49+00:00
107,#satoshinakamoto,6.683168411254883,23.58415985107422,-4.1881186962127686,2021-04-25 14:25:29+00:00
108,#reserveright,6.455445766448975,17.79207992553711,0.5445544719696045,2021-04-25 13:07:42+00:00
109,#safemooncommunity,6.199999809265137,4.8333330154418945,3.8000001907348633,2021-04-25 07:10:05+00:00
110,#bscgems,6.199999809265137,4.8333330154418945,3.8000001907348633,2021-04-25 17:09:37+00:00
111,#satoshistreetbets,6.199999809265137,4.8333330154418945,3.8000001907348633,2021-04-25 17:09:37+00:00
112,#irs,6.089108943939209,12.257425308227539,1.0594059228897095,2021-04-25 04:13:15+00:00
113,#sushiswap,6.069307327270508,26.613861083984375,6.99009895324707,2021-04-25 17:59:22+00:00
114,#shiba,6.0,14.625,9.524999618530273,2021-04-25 18:19:14+00:00
115,#cripto,6.0,14.625,7.524999618530273,2021-04-25 02:19:01+00:00
116,#savemars,6.0,14.625,7.524999618530273,2021-04-25 19:18:18+00:00
117,#cakemoon,5.792078971862793,-8.217819213867188,21.881187438964844,2021-04-25 15:21:42+00:00
118,#dogetothemoon,5.772277355194092,17.900989532470703,0.9207921028137207,2021-04-25 03:15:34+00:00
119,#doge4ebay,5.772277355194092,17.900989532470703,0.9207921028137207,2021-04-25 03:15:34+00:00
120,#dogefam,5.772277355194092,17.900989532470703,0.9207921028137207,2021-04-25 03:15:34+00:00
121,#dogeparty,5.772277355194092,17.900989532470703,0.9207921028137207,2021-04-25 03:15:34+00:00
122,#dogecommunity,5.772277355194092,17.900989532470703,0.9207921028137207,2021-04-25 03:15:34+00:00
123,#dogerocket,5.772277355194092,17.900989532470703,0.9207921028137207,2021-04-25 03:15:34+00:00
124,#becausewecan,5.772277355194092,17.900989532470703,0.9207921028137207,2021-04-25 03:15:34+00:00
125,#mffl,5.772277355194092,17.900989532470703,0.9207921028137207,2021-04-25 03:15:34+00:00
