,username,retweet,Like,Reply
0,cablenet_io,17522.0,15226.0,1772.0
1,AirdropStario,3360.728759765625,2778.677978515625,208.64407348632812
2,AirdropDet,2714.0791015625,2242.406005859375,192.04949951171875
3,airdropinspect,2537.989990234375,2499.67333984375,243.4257354736328
4,Phemex_official,1307.7030029296875,888.7425537109375,116.48514556884766
5,ICOAnnouncement,921.4257202148438,805.3861083984375,86.23762512207031
6,Eig_Banphot,844.9702758789062,150.90098571777344,2.6930692195892334
7,michael_saylor,825.4356689453125,5729.1484375,308.78216552734375
8,binance,820.9603881835938,2875.732666015625,1385.4752197265625
9,shillmarines,714.7999877929688,1149.5999755859375,326.0
10,safemoonfast,626.6153564453125,738.8461303710938,287.0769348144531
11,Bitcoin,573.5841674804688,3816.989990234375,184.62376403808594
12,klever_io,490.0693054199219,813.5247802734375,150.81187438964844
13,plumcakefinance,433.5,735.5,389.75
14,LilyKnightShow,426.84375,1604.46875,53.625
15,Pink_Siripipat,424.03961181640625,66.16831970214844,3.4257426261901855
16,cryptovenizo,392.3861389160156,197.2178192138672,158.2178192138672
17,RamiWahid,388.5555419921875,367.3888854980469,123.58333587646484
18,coinbase,374.50494384765625,1695.0296630859375,465.8415832519531
19,Benaskren,353.31683349609375,6785.42578125,277.7524719238281
20,LoveswapToken,347.5,419.0,295.0
21,bricepromos,337.30694580078125,180.43563842773438,150.8712921142578
22,DocumentingBTC,329.12872314453125,2187.019775390625,63.336631774902344
23,Sweepsgg,309.96038818359375,223.65347290039062,188.2376251220703
24,socialbrice_,290.68316650390625,152.9702911376953,149.88119506835938
25,flurbnb,270.0098876953125,255.7227783203125,202.07920837402344
26,MocktailSwap,257.43902587890625,481.95123291015625,75.63414764404297
27,stoolpresidente,214.732666015625,4492.96044921875,178.84158325195312
28,RussellOkung,213.7227783203125,1667.10888671875,45.970298767089844
29,tyler,210.71287536621094,1769.2574462890625,104.38613891601562
30,CWNFeed,210.50494384765625,219.7821807861328,147.19801330566406
31,cameron,195.84158325195312,1664.732666015625,147.74256896972656
32,kucoincom,171.79208374023438,374.8910827636719,238.6336669921875
33,WSBChairman,158.9405975341797,1084.802001953125,51.58415985107422
34,100trillionUSD,148.1485137939453,975.5247802734375,38.801979064941406
35,DCMBlockChain,144.2941131591797,140.61764526367188,106.4117660522461
36,SafeBTCOfficial,144.04949951171875,286.3366394042969,88.60395812988281
37,q8ytrader,133.46534729003906,53.108909606933594,0.4653465449810028
38,NatureCrypto,133.37623596191406,77.60395812988281,31.475248336791992
39,CoinPayU,119.5643539428711,156.10891723632812,51.30693054199219
40,ChairwomanDoge,117.40593719482422,500.78216552734375,47.9009895324707
41,SecretsOfCrypto,116.79207611083984,783.6534423828125,77.72277069091797
42,CryptoCat1111,114.52474975585938,120.79207611083984,32.96039581298828
