,0,1,2,3
0,#btc,576892.8984375,97570,109675
1,#dogecoin,576892.8984375,162209,139877
2,#criptomonedas,576892.8984375,5070,2072
3,#coinbase,576892.8984375,16211,3774
4,#covid19,576892.8984375,16568,9276
5,#tesla,576892.8984375,13954,3403
6,#russia,576892.8984375,2727,282
7,#ukraine,576892.8984375,422,102
8,#crypto,576892.8984375,148438,181006
9,#lockdown,576892.8984375,829,390
10,#ethereum,576892.8984375,103609,92895
11,#binance,576892.8984375,164715,44764
12,#xrp,576892.8984375,34077,24851
13,#eth,576892.8984375,56175,56309
14,#miami,576892.8984375,435,503
15,#barcelona,576892.8984375,51,550
16,#apple,576892.8984375,484,459
17,#bnb,178377.23828125,123214,134268
18,#bsc,178377.23828125,60323,137473
19,#trx,178377.23828125,27448,18247
20,#ltc,178377.23828125,7910,8466
21,#ada,178377.23828125,7401,5206
22,#cro,178377.23828125,1033,482
23,#free,178377.23828125,2016,524
24,#money,178377.23828125,2501,2275
25,#giveaway,178377.23828125,74372,38096
26,#altcoins,178377.23828125,20384,12734
27,#altcoin,178377.23828125,29151,32018
28,#cryptocurrency,178377.23828125,48332,50835
29,#litecoin,178377.23828125,22197,7974
30,#mining,178377.23828125,1609,5953
31,#tether,13572.625366210938,6068,4612
32,#chainlink,13572.625366210938,5072,10802
33,#hbar,13572.625366210938,1404,1719
34,#xrpcommunity,13572.625366210938,6813,6029
35,#dogecoinrise,13572.625366210938,12994,2746
36,#sec,13572.625366210938,1333,1758
37,#kin,13572.625366210938,324,160
38,#etn,7029.8349609375,1345,184
39,#ether,12749.398681640625,7225,4365
40,#etf,12749.398681640625,473,412
41,#ravencoin,11148.673095703125,1156,545
42,#rvn,11148.673095703125,881,990
43,#rekt,11148.673095703125,3125,878
44,#wallstreet,11148.673095703125,673,423
45,#ripple,82074.78466796875,10939,8639
46,#xlm,82074.78466796875,5046,2800
47,#stellar,82074.78466796875,647,245
48,#chz,82074.78466796875,8909,2962
49,#btt,82074.78466796875,9782,4815
50,#hot,82074.78466796875,18592,2676
51,#holo,82074.78466796875,4434,1804
52,#eos,82074.78466796875,6053,1213
53,#kriptopara,82074.78466796875,5955,20143
54,#xtz,82074.78466796875,1460,1205
55,#xem,82074.78466796875,1244,658
56,#band,82074.78466796875,2061,360
57,#dent,82074.78466796875,10237,2235
58,#bist,82074.78466796875,2135,1739
59,#dolar,82074.78466796875,3482,2560
60,#usdt,82074.78466796875,4496,6556
61,#altın,82074.78466796875,4160,1128
62,#neo,82074.78466796875,3986,1643
63,#hodl,82074.78466796875,16655,37645
64,#kripto,82074.78466796875,22425,4701
65,#theta,82074.78466796875,2105,1207
66,#bittorrent,82074.78466796875,3665,6483
67,#chiliz,82074.78466796875,9032,1903
68,#atom,82074.78466796875,2526,696
69,#avax,82074.78466796875,3168,2531
70,#ankr,82074.78466796875,644,432
71,#dot,82074.78466796875,2918,4098
72,#dash,82074.78466796875,1872,1293
73,#kava,82074.78466796875,877,743
74,#tron,82074.78466796875,8978,14976
75,#bittorent,82074.78466796875,330,9066
76,#safemoon,33368.019287109375,18379,49038
77,#egld,33368.019287109375,887,142
78,#china,33368.019287109375,2680,1055
79,#binancecoin,33368.019287109375,4398,1565
80,#btcturk,33368.019287109375,24298,3176
81,#polkadot,33368.019287109375,6848,4504
82,#bch,3488.7256774902344,2609,1762
83,#etherium,3488.7256774902344,1576,621
84,#ont,3488.7256774902344,2404,463
85,#vechain,7193.3819580078125,6878,2263
86,#vet,7193.3819580078125,4736,1560
87,#dyor,22991.736572265625,3030,5641
88,#alts,22991.736572265625,1000,916
89,#altseason,22991.736572265625,11239,6725
90,#trading,22991.736572265625,4542,4995
91,#dogecointothemoon,22991.736572265625,18290,23959
92,#ff,22991.736572265625,980,2272
93,#yfi,22991.736572265625,371,214
94,#dogeday420,25489.989135742188,21307,23588
95,#dogeday,25489.989135742188,3614,84809
96,#dogecoins,25489.989135742188,7931,5069
97,#cardano,25489.989135742188,14258,12507
98,#link,25489.989135742188,3406,2117
99,#dogecoinarmy,25489.989135742188,4660,1883
100,#buythedip,25489.989135742188,1759,559
101,#fomo,25489.989135742188,270,197
102,#ico,55587.84326171875,3543,2080
103,#decentralized,55587.84326171875,1407,804
104,#defi,55587.84326171875,46218,54002
105,#nft,55587.84326171875,47551,27056
106,#nfts,55587.84326171875,24369,24039
107,#coinmarketcap,55587.84326171875,860,1888
108,#privacy,55587.84326171875,599,1226
109,#bsv,55587.84326171875,2342,1228
110,#uni,55587.84326171875,718,1894
111,#cake,55587.84326171875,1176,1800
112,#wallstreetbets,55587.84326171875,510,65
113,#etfs,55587.84326171875,466,385
